,user_id,item_id,time_stamp,action_type
23288863,1,112203,1018,0
23288864,1,556107,1018,0
23288865,1,411984,1018,0
23288866,1,112203,1018,0
23288867,1,112203,1021,2
23288868,1,112203,1021,0
23288869,1,1110495,1111,0
23288870,1,1110495,1111,0
23288871,1,1110495,1111,0
23288872,1,1110495,1111,0
23288873,1,1110495,1111,0
23288874,1,1110495,1111,2
23288875,1,1110495,1111,2
23288876,1,1110495,1111,2
23288877,1,1110495,1111,2
23288878,1,1110495,1111,0
23288879,1,638653,1111,0
23288880,1,1110495,1111,0
23288881,1,452339,1111,0
23288882,1,1110495,1111,0
23288883,1,1110495,1111,0
23288884,1,1110495,1111,0
23288885,1,896183,1111,0
23288886,1,504149,1011,0
23288887,1,504149,1011,0
23288888,1,504149,1011,2
23288889,1,504149,1011,0
23288890,1,181459,1009,0
23288891,1,779078,1009,0
23288892,1,779078,1009,0
23288893,1,452837,1009,0
23288894,1,543397,1009,0
23288895,1,112203,1018,0
26051080,2,239288,626,0
26051081,2,751744,626,0
26051082,2,431502,817,0
26051083,2,864941,817,0
26051084,2,85520,817,0
26051085,2,765891,817,0
26051086,2,419343,817,0
26051087,2,426661,817,0
26051088,2,160033,817,0
26051089,2,239288,626,0
26051090,2,714176,626,0
26051091,2,197239,626,0
26051092,2,217592,626,0
26051093,2,864941,817,2
26051094,2,657479,817,0
26051095,2,593386,817,0
26051096,2,102698,817,0
26051097,2,438585,626,0
26051098,2,1072591,626,0
26051099,2,425399,626,0
26051100,2,85520,817,0
26051101,2,7287,817,0
26051102,2,281455,1108,3
26051103,2,1082351,626,0
26051104,2,644638,626,0
26051105,2,1072591,626,0
26051106,2,239288,626,0
26051107,2,1101342,626,0
26051108,2,644638,626,0
26051109,2,1082351,626,0
26051110,2,644638,626,2
26051111,2,1072591,626,2
26051112,2,239288,626,2
26051113,2,1072591,626,0
26051114,2,361788,626,0
26051115,2,657479,817,0
26051116,2,1039235,817,0
26051117,2,864941,817,0
26051118,2,657479,817,0
26051119,2,85520,817,0
26051120,2,644638,626,0
26051121,2,402928,626,0
26051122,2,739794,626,0
26051123,2,227903,817,0
26051124,2,864941,817,0
26051125,2,293453,626,0
26051126,2,669860,1002,0
26051127,2,293244,1010,2
26051128,2,917794,1010,2
26051129,2,348983,527,0
26051130,2,749563,527,0
26051131,2,286376,1111,2
26051132,2,655497,1111,2
26051133,2,916474,1111,2
26051134,2,286376,1111,2
26051135,2,274076,1111,2
26051136,2,899591,1111,3
26051137,2,1068315,721,2
26051138,2,77292,1111,2
26051139,2,274076,1111,2
26051140,2,192767,1020,0
26051141,2,215563,1020,0
26051142,2,293453,626,0
25403614,3,863889,921,0
25403615,3,828013,921,0
25403616,3,734838,1111,0
25403617,3,909738,915,0
25403618,3,203050,1111,2
25403619,3,763658,1111,0
25403620,3,664130,1111,0
25403621,3,36804,1111,0
25403622,3,946314,820,0
25403623,3,946314,819,0
25403624,3,946314,819,2
25403625,3,682925,1111,0
25403626,3,1026019,1111,0
25403627,3,931403,1111,0
25403628,3,8144,906,0
25403629,3,539302,906,0
25403630,3,8144,906,0
25403631,3,175397,727,0
25403632,3,66688,906,0
25403633,3,806605,1109,0
25403634,3,570440,1109,0
25403635,3,292696,1109,0
25403636,3,806605,1109,0
25403637,3,203050,1109,0
25403638,3,197435,1109,0
25403639,3,771317,1109,0
25403640,3,443058,1109,0
25403641,3,806605,1109,0
25403642,3,182882,627,0
25403643,3,182882,627,0
25403644,3,899024,1109,0
25403645,3,1088422,1109,0
25403646,3,266511,1109,0
25403647,3,806605,1109,0
25403648,3,203050,1109,0
25403649,3,985337,627,0
25403650,3,504899,1109,0
25403651,3,203050,1109,3
25403652,3,610677,1109,0
25403653,3,956893,1109,0
25403654,3,806605,1109,0
25403655,3,131183,1109,0
25403656,3,512417,1109,0
25403657,3,266511,1109,0
25403658,3,512417,1109,0
25403659,3,14764,911,0
25403660,3,14764,911,0
25403661,3,368597,911,0
25403662,3,895754,516,2
25403663,3,767953,911,0
25403664,3,940193,911,0
25403665,3,642963,911,0
25403666,3,368597,911,0
25403667,3,767953,911,0
25403668,3,744477,911,0
25403669,3,368597,911,0
25403670,3,806605,1106,0
25403671,3,174113,911,0
25403672,3,895754,516,2
25403673,3,642963,911,0
25403674,3,367336,1023,0
25403675,3,643224,1023,0
25403676,3,86470,1023,0
25403677,3,643224,1023,0
25403678,3,643224,1023,0
25403679,3,767953,911,0
25403680,3,81236,911,0
25403681,3,954918,921,0
30064398,4,1019133,1101,0
30064399,4,185328,1101,0
30064400,4,606202,1101,0
30064401,4,1019133,1101,0
30064402,4,830140,1101,0
30064403,4,836727,527,0
30064404,4,243874,527,0
30064405,4,185489,527,0
30064406,4,95474,527,0
30064407,4,30073,527,0
30064408,4,790055,527,0
30064409,4,1019133,1101,0
30064410,4,790055,527,0
30064411,4,764638,527,0
30064412,4,764638,527,0
30064413,4,790055,527,0
30064414,4,212966,527,0
30064415,4,430769,902,0
30064416,4,790055,1110,0
30064417,4,195478,902,0
30064418,4,790055,1110,0
30064419,4,430769,902,0
30064420,4,641123,902,0
30064421,4,205587,704,0
30064422,4,748683,704,0
30064423,4,790055,704,0
30064424,4,790055,704,0
30064425,4,764638,704,0
30064426,4,790055,704,0
30064427,4,492434,704,0
30064428,4,95474,704,0
30064429,4,764638,704,0
30064430,4,782001,1031,0
30064431,4,911780,1031,0
30064432,4,745166,1111,0
30064433,4,745166,1111,0
30064434,4,790055,1111,0
30064435,4,790055,1111,0
30064436,4,376482,1111,0
30064437,4,745166,1111,0
30064438,4,745166,1111,2
30064439,4,745166,1111,0
30064440,4,557944,724,0
30064441,4,1019133,1031,0
30064442,4,548235,717,0
30064443,4,334989,717,0
30064444,4,607374,908,0
30064445,4,710164,908,0
30064446,4,360099,908,0
30064447,4,748683,527,0
37517276,5,597305,1111,0
37517277,5,99491,1111,0
37517278,5,698879,1111,0
37517279,5,996987,1111,0
37517280,5,52951,1111,0
37517281,5,941292,1111,0
37517282,5,597305,1111,0
37517283,5,289442,1111,0
37517284,5,698879,1111,2
37517285,5,698879,1111,2
37517286,5,698879,1111,2
37517287,5,698879,1111,0
37517288,5,192846,1111,0
37517289,5,1081046,903,0
37517290,5,1081046,903,2
37517291,5,841334,903,2
37517292,5,841334,903,0
37517293,5,1081046,903,0
37517294,5,1081046,903,0
37517295,5,324641,1111,0
37517296,5,698879,1111,0
37517297,5,60692,820,0
37517298,5,976973,820,0
37517299,5,308590,1111,0
37517300,5,466183,1111,0
37517301,5,698879,1111,0
37517302,5,602481,1111,0
37517303,5,280768,1031,0
37517304,5,938206,1031,0
37517305,5,993997,1031,0
37517306,5,862763,1031,0
37517307,5,1060838,811,0
37517308,5,822551,811,0
37517309,5,822551,811,0
37517310,5,289442,1031,0
37517311,5,236425,819,0
37517312,5,1003421,819,0
37517313,5,735739,819,0
37517314,5,735739,819,0
37517315,5,647036,819,0
37517316,5,735739,819,0
37517317,5,36671,819,0
37517318,5,36671,819,0
37517319,5,815566,1031,0
37517320,5,735739,819,0
37517321,5,34953,819,0
37517322,5,13451,819,0
37517323,5,735739,1031,0
37517324,5,572787,1031,0
37517325,5,542676,1111,0
37517326,5,99491,1111,0
37517327,5,900271,1111,0
37517328,5,698879,1111,0
37517329,5,99491,1111,3
37517330,5,862763,1111,0
37517331,5,963498,1111,0
37517332,5,975999,1111,0
37517333,5,436289,1111,0
37517334,5,1019125,1111,0
37517335,5,681257,1111,0
37517336,5,514725,1111,0
37517337,5,1081046,903,3
37517338,5,841334,903,0
37517339,5,1081046,903,0
37517340,5,698879,1111,0
37517341,5,1011255,530,0
37517342,5,822551,721,0
37517343,5,34848,721,0
37517344,5,375206,721,0
37517345,5,36671,804,3
37517346,5,36671,804,0
37517347,5,938206,1029,2
37517348,5,722537,1029,0
37517349,5,938206,1029,0
37517350,5,970473,1029,0
37517351,5,1047355,626,0
37517352,5,255770,626,0
37517353,5,295566,626,0
37517354,5,532712,626,0
37517355,5,34291,626,0
37517356,5,34291,626,2
37517357,5,1103789,626,0
37517358,5,532712,626,0
37517359,5,918472,626,0
37517360,5,79263,1025,0
37517361,5,993997,1025,0
37517362,5,907189,829,0
37517363,5,992011,1005,0
37517364,5,735739,1005,0
37517365,5,993997,1025,3
37517366,5,993997,1025,0
37517367,5,19043,626,0
37517368,5,993997,1025,0
37517369,5,572787,1030,0
37517370,5,799876,1030,0
37517371,5,720392,1030,0
37517372,5,572787,1030,3
37517373,5,862763,1030,0
37517374,5,843826,626,0
37517375,5,255770,626,0
37517376,5,815566,1029,0
37517377,5,36671,812,0
37517378,5,34953,812,0
37517379,5,674858,812,0
